id,name
01M292,Henry Street School for International Studies
01M448,University Neighborhood High School
01M450,East Side Community School
01M509,Marta Valle High School
01M539,"New Explorations into Science, Technology and Math High School"
01M696,Bard High School Early College
02M047,"""47"" The American Sign Language and English Secondary School"
02M288,Food and Finance High School
02M294,Essex Street Academy
02M296,High School of Hospitality Management
02M298,PACE High School
02M300,The Urban Assembly School of Design and Construction
02M303,The Facing History School
02M305,The Urban Assembly Academy of Government and Law
02M308,Lower Manhattan Arts Academy
02M316,The Urban Assembly School of Business for Young Women
02M374,Gramercy Arts High School
02M376,NYC iSchool
02M392,Manhattan Business Academy
02M393,Business of Sports School
02M399,The High School for Language and Diplomacy
02M400,High School for Environmental Studies
02M407,Institute for Collaborative Education
02M408,Professional Performing Arts High School
02M411,Baruch College Campus High School
02M412,NYC Lab School for Collaborative Studies
02M413,School of the Future High School
02M414,NYC Museum School
02M416,Eleanor Roosevelt High School
02M418,Millennium High School
02M419,Landmark High School
02M420,High School for Health Professions and Human Services
02M422,Quest to Learn
02M425,Leadership and Public Service High School
02M427,Manhattan Academy for Arts & Language
02M432,Murray Hill Academy
02M437,Hudson High School of Learning Technologies
02M438,International High School at Union Square
02M439,Manhattan Village Academy
02M449,Vanguard High School
02M459,Manhattan International High School
02M489,High School of Economics and Finance
02M500,Unity Center for Urban Technologies
02M507,The Urban Assembly Gateway School for Technology
02M519,Talent Unlimited High School
02M520,Murry Bergtraum High School for Business Careers
02M529,Jacqueline Kennedy Onassis High School
02M531,Repertory Company High School for Theatre Arts
02M533,Union Square Academy for Health Sciences
02M534,Harvest Collegiate High School
02M542,Manhattan Bridges High School
02M543,New Design High School
02M545,High School for Dual Language and Asian Studies
02M546,Academy for Software Engineering (AFSE)
02M551,Urban Assembly New York Harbor School
02M580,Richard R. Green High School of Teaching
02M600,The High School of Fashion Industries
02M605,Humanities Preparatory Academy
02M615,Chelsea Career and Technical Education High School
02M630,Art and Design High School
02M655,Life Sciences Secondary School
03M299,"High School for Arts, Imagination and Inquiry"
03M307,The Urban Assembly School for Media Studies
03M402,The Urban Assembly School for Green Careers
03M403,The Global Learning Collaborative
03M415,Wadleigh Secondary School for the Performing & Visual Arts
03M417,Frank McCourt High School
03M479,Beacon High School
03M492,"High School for Law, Advocacy and Community Justice"
03M494,High School of Arts and Technology
03M541,Manhattan/Hunter Science High School
03M859,Special Music School
03M860,Frederick Douglass Academy II Secondary School
04M372,Esperanza Preparatory Academy
04M409,Coalition School for Social Change
04M435,Manhattan Center for Science and Mathematics
04M495,Park East High School
04M555,Central Park East High School
04M610,Young Women's Leadership School
04M680,The Heritage School
05M304,Mott Hall High School
05M362,Columbia Secondary School
05M367,Academy for Social Action: A College Board School
05M369,The Urban Assembly School for the Performing Arts
